,checking_account,duration,credit_history,credit_amount,installment_rete,sex,property,age,label,housing_own
0,1,6,4,1169,4,0,0,67,0,1
1,2,48,2,5951,2,1,0,22,1,1
2,0,12,4,2096,2,0,0,49,0,1
3,1,42,2,7882,2,0,1,45,0,0
4,1,24,3,4870,3,0,4,53,1,0
5,0,36,2,9055,2,0,4,35,0,0
6,0,24,2,2835,3,0,1,53,0,1
7,2,36,2,6948,2,0,2,35,0,0
8,0,12,2,3059,2,0,0,61,0,1
9,2,30,4,5234,4,0,2,28,1,1
10,2,12,2,1295,3,1,2,25,1,0
11,1,48,2,4308,3,1,1,24,1,0
12,2,12,2,1567,1,1,2,22,0,1
13,1,24,4,1199,4,0,2,60,1,1
14,1,15,2,1403,2,1,2,28,0,0
15,1,24,2,1282,4,1,2,32,1,1
16,0,24,4,2424,4,0,1,53,0,1
17,1,30,0,8072,2,0,2,25,0,1
18,2,24,2,12579,4,1,4,44,1,0
19,0,24,2,3430,3,0,2,31,0,1
20,0,9,4,2134,4,0,2,48,0,1
21,1,6,2,2647,2,0,0,44,0,0
22,1,10,4,2241,1,0,0,48,0,0
23,2,12,4,1804,3,0,1,44,0,1
24,0,10,4,2069,2,0,2,26,0,1
25,1,6,2,1374,1,0,0,36,0,1
26,0,6,0,426,4,0,2,39,0,1
27,3,12,1,409,3,1,0,42,0,0
28,2,7,2,2415,3,0,0,34,0,1
29,1,60,3,6836,3,0,4,63,1,1
30,2,18,2,1913,3,0,0,36,0,1
31,1,24,2,4020,2,0,2,27,0,1
32,2,18,2,5866,2,0,2,30,0,1
33,0,12,4,1264,4,0,4,57,0,0
34,3,12,2,1474,4,1,1,33,0,1
35,2,45,4,4746,4,0,1,25,1,1
36,0,48,4,6110,1,0,4,31,0,0
37,3,18,2,2100,4,0,0,37,1,1
38,3,10,2,1225,2,0,2,37,0,1
39,2,9,2,458,4,0,0,24,0,1
40,0,30,2,2333,4,0,2,30,0,1
41,2,12,2,1158,3,0,2,26,0,1
42,2,18,3,6204,2,0,0,44,0,1
43,1,30,4,6187,1,0,2,24,0,0
44,1,48,4,6143,4,1,4,58,1,0
45,0,11,4,1393,4,1,2,35,0,1
46,0,36,2,2299,4,0,2,39,0,1
47,1,6,2,1352,1,1,1,23,0,0
48,0,11,4,7228,1,0,1,39,0,1
49,0,12,2,2073,4,1,0,28,0,1
50,2,24,3,2333,4,0,1,29,0,1
51,2,27,3,5965,1,0,2,30,0,1
52,0,12,2,1262,3,0,2,25,0,1
53,0,18,2,3378,2,0,1,31,0,1
54,2,36,3,2225,4,0,4,57,1,0
55,0,6,1,783,1,0,0,26,0,1
56,2,12,2,6468,2,0,4,52,1,1
57,0,36,4,9566,2,1,2,31,0,1
58,3,18,2,1961,3,1,2,23,0,1
59,1,36,4,6229,4,1,4,23,1,0
60,2,9,2,1391,2,0,0,27,0,1
61,2,15,4,1537,4,0,0,50,0,1
62,2,36,0,1953,4,0,4,61,1,0
63,2,48,0,14421,2,0,2,25,1,1
64,0,24,2,3181,4,1,1,26,0,1
65,0,27,2,5190,4,0,1,48,0,1
66,0,12,2,2171,2,1,2,29,0,1
67,2,12,2,1007,4,0,0,22,0,1
68,0,36,2,1819,4,0,4,37,1,0
69,0,36,2,2394,4,1,2,25,0,1
70,0,36,2,8133,1,1,1,30,0,1
71,0,7,4,730,4,0,1,46,0,0
72,1,8,4,1164,3,0,4,51,0,0
73,2,42,4,5954,2,1,0,41,0,1
74,1,36,2,1977,4,0,4,40,1,1
75,1,12,4,1526,4,0,4,66,0,0
76,1,42,2,3965,4,0,2,34,1,1
77,2,11,3,4771,2,0,1,51,0,1
78,0,54,0,9436,2,0,1,39,0,1
79,2,30,2,3832,2,0,1,22,0,1
80,0,24,2,5943,1,1,2,44,1,1
81,0,15,2,1213,4,0,1,47,0,1
82,0,18,2,1568,3,1,1,24,0,0
83,1,24,2,1755,4,1,0,58,0,1
84,1,10,2,2315,3,0,0,52,0,1
85,0,12,4,1412,4,1,0,29,0,1
86,2,18,4,1295,4,1,1,27,0,1
87,2,36,2,12612,1,0,4,47,1,0
88,1,18,2,2249,4,0,2,30,0,1
89,1,12,0,1108,4,0,0,28,1,1
90,0,12,4,618,4,0,0,56,0,1
91,1,12,4,1409,4,0,0,54,0,1
92,0,12,4,797,4,1,1,33,1,1
93,3,24,4,3617,4,0,4,20,0,0
94,2,12,2,1318,4,0,0,54,0,1
95,2,54,0,15945,3,0,4,58,1,0
96,0,12,4,2012,4,1,2,61,0,1
97,2,18,2,2622,4,0,2,34,0,1
98,2,36,4,2337,4,0,0,36,0,1
99,2,20,3,7057,3,0,1,36,0,0
100,0,24,2,1469,4,0,0,41,0,0
101,2,36,2,2323,4,0,2,24,0,0
102,0,6,3,932,3,1,0,24,0,1
103,2,9,4,1919,4,0,2,35,0,0
104,0,12,2,2445,2,0,2,26,0,0
105,2,24,4,11938,2,0,2,39,1,1
106,0,18,1,6458,2,0,4,39,1,1
107,2,12,2,6078,2,0,2,32,0,1
108,1,24,2,7721,1,1,1,30,0,1
109,2,14,2,1410,1,0,0,35,0,1
110,2,6,3,1449,1,0,2,31,0,1
111,3,15,2,392,4,1,1,23,0,0
112,2,18,2,6260,3,0,0,28,0,0
113,0,36,4,7855,4,1,0,25,1,1
114,1,12,2,1680,3,0,0,35,0,1
115,0,48,4,3578,4,0,0,47,0,1
116,1,42,2,7174,4,1,2,30,1,1
117,1,10,4,2132,2,1,0,27,0,0
118,1,33,4,4281,1,1,2,23,1,1
119,2,12,4,2366,3,0,2,36,0,1
120,1,21,2,1835,3,1,0,25,1,1
121,0,24,4,3868,4,1,2,41,0,0
122,0,12,2,1768,3,0,0,24,0,0
123,3,10,4,781,4,0,4,63,0,0
124,2,18,2,1924,4,1,0,27,1,0
125,1,12,4,2121,4,0,1,30,0,1
126,1,12,2,701,4,0,0,40,0,1
127,2,12,2,639,4,0,2,30,1,1
128,2,12,4,1860,4,0,2,34,0,1
129,1,12,4,3499,3,1,0,29,1,1
130,2,48,2,8487,1,1,2,24,0,1
131,1,36,3,6887,4,0,1,29,1,1
132,0,15,2,2708,2,0,1,27,0,1
133,0,18,2,1984,4,0,4,47,0,0
134,0,60,2,10144,2,1,0,21,0,1
135,0,12,4,1240,4,1,0,38,0,1
136,0,27,3,8613,2,0,2,27,0,1
137,2,12,2,766,4,0,0,66,1,1
138,2,15,4,2728,4,0,0,35,0,1
139,3,12,2,1881,2,1,2,44,0,0
140,3,6,2,709,2,0,0,27,0,1
141,2,36,2,4795,4,1,4,30,0,1
142,1,27,2,3416,3,0,2,27,0,1
143,1,18,2,2462,2,0,2,22,1,1
144,0,21,4,2288,4,1,1,23,0,1
145,2,48,1,3566,4,0,2,30,0,1
146,1,6,4,860,1,1,4,39,0,1
147,0,12,4,682,4,1,2,51,0,1
148,1,36,4,5371,3,0,1,28,0,1
149,0,18,4,1582,4,0,2,46,0,1
150,0,6,2,1346,2,0,4,42,0,0
151,0,10,2,1924,1,0,1,38,0,1
152,3,36,2,5848,4,0,2,24,0,1
153,2,24,4,7758,2,1,4,29,0,0
154,2,24,3,6967,4,0,2,36,0,0
155,1,12,2,1282,2,1,2,20,1,0
156,1,9,4,1288,3,0,0,48,0,1
157,1,12,1,339,4,0,2,45,0,1
158,2,24,2,3512,2,0,2,38,0,1
159,0,6,4,1898,1,0,0,34,0,1
160,0,24,4,2872,3,0,0,36,0,1
161,0,18,4,1055,4,1,1,30,0,1
162,0,15,2,1262,4,0,1,36,0,1
163,2,10,2,7308,2,0,4,70,0,0
164,0,36,2,909,4,0,1,36,0,1
165,0,6,2,2978,1,0,2,32,0,1
166,1,18,2,1131,4,1,2,33,1,1
167,2,11,2,1577,4,1,0,20,0,1
168,0,24,2,3972,2,1,1,25,0,0
169,2,24,4,1935,4,0,0,31,1,1
170,1,15,0,950,4,0,2,33,1,0
171,0,12,2,763,4,1,0,26,0,1
172,2,24,3,2064,3,1,1,34,1,1
173,2,8,2,1414,4,0,0,33,0,1
174,1,21,3,3414,2,0,1,26,1,1
175,0,30,1,7485,4,1,0,53,1,1
176,1,12,2,2577,2,0,2,42,0,1
177,1,6,4,338,4,0,2,52,0,1
178,0,12,2,1963,4,0,2,31,0,0
179,1,21,4,571,4,0,0,65,0,1
180,0,36,3,9572,1,0,2,28,1,1
181,2,36,3,4455,2,0,0,30,1,1
182,1,21,1,1647,4,0,1,40,1,1
183,0,24,4,3777,4,0,0,50,0,1
184,2,18,4,884,4,0,2,36,1,1
185,0,15,4,1360,4,0,1,31,0,1
186,2,9,1,5129,2,1,4,74,1,0
187,2,16,4,1175,2,0,2,68,0,0
188,1,12,2,674,4,0,1,20,1,1
189,2,18,0,3244,1,1,2,33,0,1
190,0,24,2,4591,2,0,1,54,1,1
191,2,48,0,3844,4,0,4,34,1,0
192,2,27,2,3915,4,0,2,36,1,1
193,0,6,2,2108,2,0,0,29,0,0
194,2,45,2,3031,4,0,1,21,1,0
195,2,9,4,1501,2,1,2,34,1,1
196,0,6,4,1382,1,1,2,28,0,1
197,2,12,2,951,4,1,2,27,1,0
198,2,24,2,2760,4,0,4,36,0,0
199,2,18,3,4297,4,0,4,40,1,1
200,0,9,4,936,4,0,2,52,0,1
201,1,12,2,1168,4,0,0,27,0,1
202,0,27,3,5117,3,0,2,26,0,1
203,1,12,2,902,4,0,1,21,1,0
204,0,12,4,1495,4,0,0,38,0,1
205,1,30,4,10623,3,0,4,38,0,0
206,0,12,4,1935,4,0,0,43,0,1
207,2,12,4,1424,4,0,1,26,0,1
208,1,24,2,6568,2,0,2,21,0,1
209,0,12,2,1413,3,0,1,55,0,1
210,0,9,4,3074,1,0,0,33,0,1
211,0,36,2,3835,2,1,0,45,0,1
212,1,27,0,5293,2,0,1,50,1,1
213,3,30,3,1908,4,0,0,66,1,1
214,0,36,4,3342,4,0,2,51,0,1
215,2,6,4,932,1,1,1,39,0,1
216,1,18,0,3104,3,0,1,31,0,1
217,3,36,2,3913,2,0,0,23,0,1
218,1,24,2,3021,2,0,0,24,0,0
219,0,10,2,1364,2,1,2,64,0,1
220,2,12,2,625,4,0,0,26,0,1
221,1,12,2,1200,4,1,1,23,0,0
222,0,12,2,707,4,0,0,30,0,1
223,0,24,3,2978,4,0,0,32,0,1
224,0,15,2,4657,3,0,2,30,0,1
225,0,36,0,2613,4,0,2,27,0,1
226,2,48,2,10961,1,0,4,27,1,1
227,1,12,2,7865,4,0,4,53,1,0
228,0,9,2,1478,4,0,2,22,1,1
229,1,24,2,3149,4,0,4,22,0,0
230,3,36,2,4210,4,0,2,26,1,1
231,0,9,2,2507,2,0,4,51,0,0
232,0,12,2,2141,3,0,4,35,0,1
233,2,18,2,866,4,0,0,25,0,1
234,0,4,4,1544,2,0,0,42,0,1
235,1,24,2,1823,4,0,2,30,1,1
236,2,6,2,14555,1,0,1,23,1,1
237,2,21,2,2767,4,0,2,61,1,0
238,0,12,4,1291,4,1,1,35,0,1
239,1,30,2,2522,1,0,1,39,0,1
240,1,24,2,915,4,1,2,29,1,1
241,0,6,2,1595,3,0,1,51,0,1
242,1,48,0,4605,3,0,4,24,1,0
243,0,12,4,1185,3,1,0,27,0,1
244,0,12,1,3447,4,1,0,35,0,1
245,0,24,2,1258,4,0,0,25,0,1
246,0,12,4,717,4,0,0,52,0,1
247,0,6,0,1204,4,0,4,35,0,0
248,3,24,2,1925,2,0,0,26,0,1
249,0,18,2,433,3,1,0,22,1,0
250,1,6,4,666,3,1,0,39,0,1
251,3,12,2,2251,1,1,2,46,0,1
252,2,30,2,2150,4,1,4,24,1,1
253,0,24,3,4151,2,0,1,35,0,1
254,2,9,2,2030,2,0,2,24,0,1
255,2,60,3,7418,1,0,0,27,0,1
256,0,24,4,2684,4,0,0,35,0,1
257,1,12,1,2149,4,0,4,29,1,0
258,0,15,2,3812,1,1,2,23,0,1
259,0,11,4,1154,4,1,0,57,0,1
260,1,12,2,1657,2,0,0,27,0,1
261,1,24,2,1603,4,1,2,55,0,1
262,1,18,4,5302,2,0,4,36,0,0
263,0,12,4,2748,2,1,4,57,0,0
264,0,10,4,1231,3,0,0,32,0,1
265,2,15,2,802,4,0,2,37,1,1
266,0,36,4,6304,4,0,0,36,0,1
267,0,24,2,1533,4,1,2,38,0,1
268,1,14,2,8978,1,0,1,45,1,1
269,0,24,2,999,4,0,2,25,0,1
270,0,18,2,2662,4,0,1,32,0,1
271,0,12,4,1402,3,1,2,37,0,0
272,2,48,1,12169,4,0,4,36,0,0
273,2,48,2,3060,4,0,0,28,1,1
274,1,30,2,11998,1,0,4,34,1,1
275,0,9,2,2697,1,0,0,32,0,1
276,0,18,4,2404,2,1,2,26,0,1
277,1,12,2,1262,2,0,1,49,0,1
278,0,6,2,4611,1,1,1,32,1,1
279,0,24,2,1901,4,0,2,29,0,0
280,0,15,4,3368,3,0,4,23,0,0
281,0,12,2,1574,4,0,0,50,0,1
282,3,18,1,1445,4,0,2,49,0,1
283,0,15,4,1520,4,0,1,63,0,1
284,2,24,4,3878,4,0,2,37,0,1
285,1,47,2,10722,1,1,0,35,0,1
286,1,48,2,4788,4,0,1,26,0,1
287,2,48,3,7582,2,0,4,31,0,0
288,2,12,2,1092,4,1,0,49,0,1
289,1,24,3,1024,4,0,0,48,1,1
290,0,12,2,1076,2,0,0,26,0,1
291,2,36,2,9398,1,0,2,28,1,0
292,1,24,4,6419,2,1,4,44,0,0
293,3,42,4,4796,4,0,4,56,0,0
294,0,48,4,7629,4,0,2,46,0,1
295,2,48,2,9960,1,1,2,26,1,1
296,0,12,2,4675,1,1,2,20,0,0
297,0,10,2,1287,4,0,1,45,0,1
298,0,18,2,2515,3,0,0,43,0,1
299,2,21,4,2745,3,0,2,32,0,1
300,0,6,2,672,1,1,0,54,0,1
301,2,36,0,3804,4,1,2,42,1,1
302,3,24,4,1344,4,0,0,37,1,1
303,1,10,4,1038,4,0,1,49,0,1
304,0,48,4,10127,2,0,4,44,1,0
305,0,6,2,1543,4,0,0,33,0,1
306,0,30,2,4811,2,1,1,24,0,0
307,1,12,2,727,4,0,4,33,1,1
308,2,8,2,1237,3,1,0,24,1,1
309,2,9,2,276,4,0,0,22,0,0
310,2,48,2,5381,3,0,4,40,0,0
311,0,24,2,5511,4,0,2,25,0,1
312,3,24,2,3749,2,1,2,26,0,1
313,2,12,2,685,2,0,2,25,1,1
314,3,4,2,1494,1,0,0,29,0,1
315,1,36,1,2746,4,0,2,31,1,1
316,1,12,2,708,2,0,1,38,0,1
317,2,24,2,4351,1,1,1,48,0,1
318,0,12,4,701,4,0,2,32,0,1
319,1,15,3,3643,1,1,1,27,0,1
320,2,30,4,4249,4,0,2,28,1,1
321,1,24,2,1938,4,0,1,32,1,1
322,1,24,2,2910,2,0,4,34,0,0
323,1,18,2,2659,4,0,2,28,0,1
324,0,18,4,1028,4,1,0,36,0,1
325,1,8,4,3398,1,0,0,39,0,1
326,0,12,4,5801,2,0,1,49,0,0
327,0,24,2,1525,4,1,2,34,0,1
328,3,36,2,4473,4,0,2,31,0,1
329,2,6,2,1068,4,0,2,28,0,1
330,1,24,4,6615,2,0,4,75,0,0
331,0,18,4,1864,4,1,0,30,1,1
332,2,60,2,7408,4,1,1,24,1,1
333,0,48,4,11590,2,1,2,24,1,0
334,1,24,0,4110,3,0,4,23,1,0
335,1,6,4,3384,1,0,0,44,1,0
336,2,13,2,2101,2,1,1,23,0,1
337,1,15,2,1275,4,1,2,24,1,0
338,1,24,2,4169,4,0,1,28,0,1
339,2,10,2,1521,4,0,2,31,0,1
340,2,24,4,5743,2,1,4,24,0,0
341,1,21,2,3599,1,1,2,26,0,0
342,2,18,2,3213,1,0,0,25,0,0
343,2,18,2,4439,1,0,0,33,0,1
344,3,10,2,3949,1,0,1,37,0,1
345,0,15,4,1459,4,1,2,43,0,1
346,2,13,4,882,4,0,0,23,0,1
347,2,24,2,3758,1,1,4,23,0,0
348,0,6,3,1743,1,0,0,34,0,1
349,2,9,4,1136,4,0,4,32,1,0
350,0,9,2,1236,1,1,0,23,0,0
351,2,9,2,959,1,1,2,29,1,1
352,0,18,4,3229,2,0,4,38,0,1
353,1,12,0,6199,4,0,1,28,1,0
354,0,10,2,727,4,0,4,46,0,0
355,2,24,2,1246,4,0,0,23,1,1
356,0,12,4,2331,1,0,0,49,0,1
357,0,36,3,4463,4,0,2,26,1,1
358,0,12,2,776,4,0,0,28,0,1
359,1,30,2,2406,4,1,0,23,1,0
360,2,18,2,1239,4,0,4,61,0,0
361,3,12,2,3399,2,0,2,37,0,1
362,3,12,3,2247,2,1,2,36,0,1
363,0,6,2,1766,1,0,1,21,0,0
364,1,18,2,2473,4,0,2,25,1,1
365,0,12,2,1542,2,0,2,36,0,1
366,0,18,4,3850,3,0,2,27,0,1
367,1,18,2,3650,1,1,2,22,0,0
368,1,36,2,3446,4,0,2,42,1,1
369,2,18,2,3001,2,1,0,40,0,0
370,0,36,2,3079,4,0,0,36,0,1
371,0,18,4,6070,3,0,2,33,0,1
372,0,10,4,2146,1,1,0,23,0,0
373,0,60,4,13756,2,0,4,63,0,0
374,2,60,1,14782,3,1,4,60,1,0
375,1,48,1,7685,2,1,2,37,1,0
376,0,18,3,2320,2,0,0,34,0,1
377,0,7,3,846,3,0,4,36,0,0
378,2,36,2,14318,4,0,4,57,1,0
379,0,6,4,362,4,1,2,52,0,1
380,1,20,2,2212,4,0,2,39,0,1
381,2,18,2,12976,3,1,4,38,1,0
382,0,22,2,1283,4,1,1,25,0,0
383,3,12,2,1330,4,0,0,26,0,1
384,0,30,3,4272,2,0,1,26,0,1
385,0,18,4,2238,2,1,2,25,0,1
386,0,18,2,1126,4,1,0,21,0,0
387,2,18,4,7374,4,0,1,40,0,1
388,2,15,4,2326,2,0,2,27,0,1
389,0,9,2,1449,3,1,2,27,0,1
390,0,18,2,1820,2,0,1,30,0,1
391,2,12,2,983,1,1,0,19,0,0
392,1,36,2,3249,2,0,4,39,0,0
393,1,6,4,1957,1,1,2,31,0,1
394,0,9,4,2406,2,0,2,31,0,1
395,2,39,3,11760,2,0,4,32,0,0
396,1,12,2,2578,3,1,4,55,0,0
397,1,36,4,2348,3,0,1,46,0,1
398,2,12,2,1223,1,0,0,46,1,0
399,0,24,4,1516,4,1,0,43,0,1
400,0,18,2,1473,3,0,0,39,0,1
401,2,18,4,1887,4,0,0,28,0,1
402,0,24,3,8648,2,0,2,27,1,1
403,0,14,3,802,4,0,2,27,0,1
404,2,18,3,2899,4,0,2,43,0,1
405,2,24,2,2039,1,0,1,22,1,1
406,0,24,4,2197,4,0,2,43,0,1
407,1,15,2,1053,4,0,0,27,0,1
408,0,24,2,3235,3,0,2,26,0,1
409,3,12,4,939,4,0,0,28,1,1
410,2,24,2,1967,4,1,2,20,0,1
411,0,33,4,7253,3,0,2,35,0,1
412,0,12,4,2292,4,0,2,42,1,1
413,0,10,2,1597,3,0,4,40,0,0
414,1,24,2,1381,4,1,1,35,1,1
415,0,36,4,5842,2,0,1,35,0,1
416,1,12,2,2579,4,0,0,33,1,1
417,1,18,3,8471,1,1,2,23,0,0
418,0,21,2,2782,1,1,2,31,0,1
419,2,18,2,1042,4,1,1,33,1,1
420,0,15,2,3186,2,1,2,20,0,0
421,2,12,2,2028,4,0,2,30,0,1
422,2,12,4,958,2,0,0,47,0,1
423,0,21,3,1591,4,0,0,34,0,1
424,2,12,2,2762,1,1,1,25,1,1
425,2,18,2,2779,1,0,2,21,0,0
426,0,28,4,2743,4,0,2,29,0,1
427,0,18,4,1149,4,0,0,46,0,1
428,0,9,2,1313,1,0,2,20,0,1
429,1,18,4,1190,2,1,4,55,1,0
430,0,5,2,3448,1,0,0,74,0,1
431,2,24,2,11328,2,0,2,29,1,1
432,1,6,4,1872,4,0,4,36,0,0
433,0,24,4,2058,4,0,0,33,0,1
434,1,9,2,2136,3,0,0,25,0,1
435,2,12,2,1484,2,0,0,25,1,1
436,0,6,2,660,2,0,0,23,0,0
437,0,24,4,1287,4,1,0,37,0,1
438,1,42,4,3394,4,0,2,65,0,1
439,3,12,1,609,4,1,0,26,1,1
440,0,12,2,1884,4,0,2,39,0,1
441,1,12,2,1620,2,1,1,30,0,1
442,2,20,3,2629,2,0,2,29,0,1
443,0,12,2,719,4,0,2,41,1,1
444,2,48,4,5096,2,1,2,30,1,1
445,0,9,4,1244,4,1,1,41,0,0
446,1,36,2,1842,4,1,2,34,1,1
447,2,7,2,2576,2,0,0,35,0,1
448,3,12,2,1424,3,1,0,55,0,1
449,2,15,3,1512,3,0,1,61,1,1
450,0,36,4,11054,4,0,2,30,0,1
451,0,6,2,518,3,1,0,29,0,1
452,0,12,0,2759,2,0,1,34,0,1
453,0,24,2,2670,4,0,2,35,0,1
454,1,24,2,4817,2,0,1,31,1,1
455,0,24,2,2679,4,1,4,29,0,1
456,1,11,4,3905,2,0,0,36,0,0
457,1,12,2,3386,3,0,4,35,1,0
458,1,6,2,343,4,1,0,27,0,1
459,0,18,2,4594,3,0,2,32,0,1
460,1,36,2,3620,1,0,1,37,0,1
461,1,15,2,1721,2,0,0,36,0,1
462,2,12,2,3017,3,1,0,34,0,0
463,2,12,2,754,4,0,1,38,0,1
464,0,18,2,1950,4,0,2,34,0,1
465,1,24,2,2924,3,0,4,63,0,1
466,1,24,3,1659,4,1,2,29,1,0
467,0,48,3,7238,3,0,2,32,0,1
468,0,33,3,2764,2,1,2,26,0,1
469,0,24,3,4679,3,0,2,35,0,1
470,2,24,2,3092,3,0,2,22,1,0
471,1,6,2,448,4,1,1,23,1,1
472,1,9,2,654,4,0,2,28,1,1
473,0,6,2,1238,4,0,1,36,0,1
474,2,18,4,1245,4,0,2,33,1,1
475,1,18,0,3114,1,1,1,26,1,0
476,0,39,2,2569,4,0,2,24,0,1
477,3,24,2,5152,4,0,2,25,0,1
478,2,12,2,1037,3,0,0,39,0,1
479,1,15,4,1478,4,0,2,44,0,1
480,2,12,4,3573,1,1,0,23,0,1
481,2,24,2,1201,4,0,1,26,0,1
482,1,30,2,3622,4,1,1,57,0,0
483,0,15,3,960,3,1,1,30,0,1
484,0,12,4,1163,4,0,0,44,0,1
485,2,6,3,1209,4,0,1,47,1,1
486,0,12,2,3077,2,0,2,52,0,1
487,0,24,2,3757,4,1,4,62,0,0
488,0,10,2,1418,3,0,0,35,0,0
489,0,6,2,3518,2,0,1,26,0,0
490,0,12,4,1934,2,0,4,26,0,1
491,2,27,0,8318,2,1,4,42,1,0
492,0,6,4,1237,1,1,1,27,0,1
493,2,6,2,368,4,0,1,38,0,1
494,1,12,4,2122,3,0,0,39,0,0
495,1,24,2,2996,2,0,2,20,1,1
496,2,36,2,9034,4,0,4,29,1,0
497,0,24,4,1585,4,0,1,40,0,1
498,2,18,2,1301,4,0,0,32,0,1
499,3,6,4,1323,2,0,2,28,0,1
